Zone,Org District,AC,Org Mandal,LBName,Target
Thiruvananthapuram,Kollam East,Kunnathur,Sasthamcotta,West Kallada Gramapanchayat,NA
Thiruvananthapuram,Kollam West,Karunagappally,Oachira,Thodiyoor Grama Panchayat,NA
Thiruvananthapuram,Kollam West,Karunagappally,Oachira,Oachira Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,Pandalam,Win
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Kalanjoor Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,Ezhamkulam Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,Earathu Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Pathanamthitta,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Aranmula,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,Pallikkal Grampanchayat,NA
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,Kodumon Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Kulanada Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Adoor,Kadambanad Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,Panthalam Thekkekkara Grampanchayat,Win
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Malayalapuzha Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Enadimangalam,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Mezhuvely Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Vallikkodu Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Mylapra Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Adoor,Pandalam,Thumpamon Grampanchayat,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Vadasserikkara Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Ranni Perunadu Grama Panchayat,Win
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Thannithodu Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Naranganam Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Mallappuzhassery Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Pramadam Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Aruvappulam,NA
Thiruvananthapuram,Pathanamthitta,Konni,Konni,Konni,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Vechoochira Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Naranammuzhi Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Konni,Chittar,Seethathodu,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Aranmula,Kozhanchery Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Cherukole Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Ranni Angadi Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Ranni Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ranni,Ranni Pazhavangadi Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Aranmula,Pathanamthitta,Elanthoor,Win
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,Krishnapuram Gram panchayat,Win
Alappuzha,Alappuzha South,Mavelikkara,Charummoodu,Vallikkunnam grama panchayat,Win
Palakkad,Palakkad West,Pattambi,Pattambi,Ongallur Gramapanchayath,Opposition
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Thamarakkulam Grama Panchayath,Win
Alappuzha,Alappuzha South,Mavelikkara,Mavelikkara,Nooranadu grama panchayat,Win
