Zone,Org District,AC,Org Mandal,LBName,Target
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Rajakumary Gramapanchayat,NA
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Udumbanchola,NA
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Nedumkandom Gramapanchayath,NA
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Rajakkad Gramapanchayath,NA
Palakkad,Palakkad West,Shornur,Cherpulassery,Thrikkadeeri Grampanchayat,Opposition
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Senapathy Gramapanchayath,NA
Palakkad,Palakkad East,Alathur,Vandazhi,Vandazhy Gramapanchayath,Opposition
Ernakulam,Thrissur South,Chalakudy,Chalakudy,Kodakara,Win
Alappuzha,Idukki North,Devikulam,Devikulam,Devikulam Gramapanchayath,NA
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,Edavilangu,Win
Alappuzha,Kottayam East,Kanjirappally,Vazhoor,Nedumkunnam Grampanchayath,Opposition
Alappuzha,Idukki South,Udumbanchola,Udumbanchola,Santhanpara Gramapanchayat,NA
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,Sree Narayanapuram,Win
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,Perinjanam,Win
Alappuzha,Idukki North,Devikulam,Devikulam,Munnar Grampanchayat,NA
Alappuzha,Idukki North,Devikulam,Devikulam,Marayoor Gramapanchayat,NA
Ernakulam,Thrissur City,Nattika,Nattika,Thalikulam,Win
Ernakulam,Thrissur North,Wadakkanchery,Kaipparambu,Adat,Win
Ernakulam,Thrissur City,Ollur,Peechi,Puthur,Win
Alappuzha,Idukki South,Idukki,Idukki,Konnathady Gramapanchayath,NA
Alappuzha,Idukki North,Devikulam,Adimali,Adimali,NA
Ernakulam,Ernakulam East,Piravom,Piravom,Koothattukulam,NA
Ernakulam,Ernakulam East,Piravom,Piravom,Piravom,NA
Ernakulam,Ernakulam City,Thripunithura,Palluruthy,Maradu,NA
Ernakulam,Ernakulam City,Thrikkakara,Thrikkakara,Thrikkakara,NA
Palakkad,Palakkad West,Tarur,Tharur,Kottayi Gramapanchayath,Opposition
Ernakulam,Ernakulam North,Angamaly,Angamaly,Angamaly,NA
Palakkad,Palakkad West,Shornur,Shornur,Chalavara Gramapanchayath,Opposition
Ernakulam,Ernakulam North,Kalamassery,Kalamassery,Kalamassery,NA
Ernakulam,Thrissur North,Chelakkara,Chelakkara,Thiruvilwamala,Win
Alappuzha,Kottayam West,Ettumanoor,Ettumanoor,Ettumanoor,Opposition
Ernakulam,Ernakulam East,Kothamangalam,Kothamangalam,Kothamangalam,NA
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Muvattupuzha,NA
Ernakulam,Thrissur North,Chelakkara,Chelakkara,Kondazhy,Win
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Valakom Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Marady Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Manjalloor Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Ayavana,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Kalloorkaad Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Paipra Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Arakkuzha,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Avoly,NA
Ernakulam,Ernakulam North,Paravoor,Vadakkekara,Puthenvelikkara Gramapanchayath,NA
Ernakulam,Ernakulam North,Aluva,Nedumbassery,Sreemoolanagaram,NA
Ernakulam,Thrissur North,Chelakkara,Chelakkara,Chelakkara,Win
Ernakulam,Ernakulam North,Angamaly,Angamaly,Parakkadavu Gramapanchayath,NA
Ernakulam,Ernakulam North,Aluva,Nedumbassery,Nedumbassery Gramapanchayath,NA
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,Porkulam,Win
Palakkad,Palakkad West,Thrithala,Thrithala,Thirumittacode Gramapanchayath,Opposition
Ernakulam,Ernakulam East,Piravom,Piravom,Pampakuda Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Muvattupuzha,Palakuzha Gramapanchayath,NA
Ernakulam,Ernakulam East,Piravom,Piravom,Thirumaradi Gramapanchayath,NA
Ernakulam,Ernakulam East,Piravom,Piravom,Elanji,NA
Ernakulam,Ernakulam East,Kothamangalam,Kothamangalam,Kottappady Grama Panchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,Kuttampuzha Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,Pallarimangalam Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Pothanikkad Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,Keerampaara Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,Varapetty Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kavalangad,Kavalangad Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kothamangalam,Pindimana Gramapanchayath,NA
Ernakulam,Ernakulam East,Kothamangalam,Kothamangalam,Nellikuzhy Gramapanchayath,NA
Ernakulam,Ernakulam East,Muvattupuzha,Vazhakkulam,Paingottoor Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kunnathunadu,Kunnathunad Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kolenchery,Aikkaranadu Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kunnathunadu,Mazhuvanoor Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kolenchery,Vadavukode-Puthencruz Gramapanachayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kolenchery,Thiruvaniyoor Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kolenchery,Poothrika Gramapanchayath,NA
Ernakulam,Ernakulam East,Piravom,Chottanikara,Maneedu Gramapanchayath,NA
Ernakulam,Ernakulam East,Piravom,Chottanikara,Amballur,NA
Ernakulam,Ernakulam East,Piravom,Chottanikara,Edakkattuvayal,NA
Ernakulam,Ernakulam East,Piravom,Chottanikara,Chottanikara Gramapanchayath,NA
Ernakulam,Ernakulam East,Piravom,Chottanikara,Mulamthuruthy Gramapanchayath,NA
Ernakulam,Ernakulam City,Thripunithura,Thrippunithura,Udayamperoor,NA
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,Chowannur,Win
Ernakulam,Ernakulam City,Kochi,Kochi,Kumbalam Gramapanchayath,NA
Ernakulam,Ernakulam City,Kochi,Kochi,Chellanam Gramapanchayath,NA
Ernakulam,Thrissur North,Guruvayoor,Guruvayoor,Punnayoorkulam,Win
Alappuzha,Alappuzha North,Alappuzha,Alappuzha,Alappuzha,Opposition
Ernakulam,Ernakulam City,Vypen,Cherayi,Edavanakad,NA
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Nedumpram Gramapanchayath,Win
Ernakulam,Ernakulam City,Vypen,Vypin,Njarackal Gramapanchayath,NA
Palakkad,Palakkad East,Malampuzha,Malampuzha,Puduppariyaram Gramapanchayath,Win
Ernakulam,Ernakulam City,Vypen,Vypin,Mulavukadu Gramapanchayath,NA
Ernakulam,Ernakulam City,Eranakulam,Ernakulam North,Cherannalloor Gramapanchayat,NA
Ernakulam,Ernakulam City,Vypen,Vypin,Kadamakkudy Gramapanchayath,NA
Ernakulam,Ernakulam North,Aluva,Aluva,Keezhmadu Gramapanchayath,NA
Ernakulam,Ernakulam North,Aluva,Aluva,Edathala,NA
Ernakulam,Ernakulam North,Aluva,Aluva,Choornikkara Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kunnathunadu,Kizhakkambalam Gramapanchayath,NA
Ernakulam,Ernakulam East,Kunnathunad,Kunnathunadu,Vazhakkulam Gramapanchayath,NA
Ernakulam,Ernakulam North,Perumbavoor,Perumbavoor,Vengola,NA
Ernakulam,Ernakulam North,Perumbavoor,Perumbavoor,Okkal Gramapanchayath,NA
Ernakulam,Ernakulam North,Perumbavoor,Perumbavoor,Koovappady Gramapanchayath,NA
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,Rayamangalam Gramapanchayath,NA
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,Vengoor Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Paravoor,North Paravur,Opposition
Ernakulam,Ernakulam North,Perumbavoor,Kuruppampady,Asamannur,NA
Ernakulam,Ernakulam North,Angamaly,Kalady,Malayattoor-Neeleswaram Gramapanchayath,NA
Ernakulam,Ernakulam North,Angamaly,Kalady,Kalady,NA
Ernakulam,Ernakulam North,Aluva,Nedumbassery,Kanjoor Gramapanchayath,NA
Ernakulam,Ernakulam North,Angamaly,Kalady,Ayyampuzha,NA
Ernakulam,Ernakulam North,Angamaly,Angamaly,Karukutty Gramapanchayath,NA
Ernakulam,Ernakulam North,Angamaly,Kalady,Manjapra Gramapanchayath,NA
Ernakulam,Ernakulam North,Angamaly,Aroor,Thuravoor Gramapanchayat,NA
Ernakulam,Ernakulam North,Angamaly,Angamaly,Mookkannoor Gramapanchayath,NA
Palakkad,Palakkad East,Malampuzha,Puthussery,Marutharode Gramapanchayath,Win
Ernakulam,Ernakulam North,Kalamassery,Karumalloor,Alangad Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Paravoor,Varapuzha Gramapanchayath,NA
Ernakulam,Ernakulam North,Kalamassery,Karumalloor,Karumalloor Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Vadakkekara,Chittattukara Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Vadakkekara,Vadakkekkara Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Paravoor,Ezhikkara,NA
Ernakulam,Ernakulam North,Paravoor,Paravoor,Kottuvally Gramapanchayath,NA
Ernakulam,Ernakulam North,Paravoor,Vadakkekara,Chendamangalam Gramapanchayath,NA
Ernakulam,Ernakulam City,Kochi,Mattancherry,Kochi,NA
Ernakulam,Thrissur North,Wadakkanchery,Wadakkanchery,Wadakanchery,NA
Palakkad,Palakkad East,Malampuzha,Malampuzha,Malampuzha Gramapanchayath,Win
Palakkad,Palakkad East,Nenmara,Kollengode,Muthalamada Gramapanchayath,Win
Ernakulam,Thrissur North,Guruvayoor,Chavakkad,Chavakkad,NA
Palakkad,Palakkad East,Nenmara,Nenmara,Koduvayur Gramapanchayath,Win
Palakkad,Palakkad East,Nenmara,Kollengode,Kollengode Gramapanchayat,Win
Ernakulam,Thrissur South,Chalakudy,Chalakudy,Chalakudy,NA
Palakkad,Palakkad East,Malampuzha,Puthussery,Elappully,Win
Ernakulam,Thrissur South,Chalakudy,Koratty,PariyarmThrissur,NA
Palakkad,Palakkad East,Alathur,Alathur,Thenkurissi Grampanchayat,Win
Ernakulam,Thrissur South,Chalakudy,Koratty,Koratty,NA
Ernakulam,Thrissur South,Chalakudy,Chalakudy,Kodassery,NA
Ernakulam,Thrissur South,Chalakudy,Koratty,Kadukutty,NA
Ernakulam,Thrissur South,Kodungallur,Mala,Poyya,NA
Palakkad,Palakkad East,Kongad,Kongad,Keralasseri Gramapanchayath,Win
Palakkad,Palakkad East,Malampuzha,Malampuzha,Mundur Gramapanchayath,Win
Ernakulam,Thrissur South,Kodungallur,Mala,Annamanada,NA
Ernakulam,Thrissur South,Irinjalakuda,Aloor,Aloor,NA
Palakkad,Palakkad West,Mannarkad,Attappady,Parudur,Win
Ernakulam,Thrissur South,Kodungallur,Kodungallur,Vellangalur,NA
Ernakulam,Thrissur South,Kodungallur,Kodungallur,Puthenchira,NA
Palakkad,Palakkad West,Mannarkad,Attappady,Agali,Win
Palakkad,Palakkad East,Kongad,Karimba,Karimba,Win
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Kuttoor Gramapanchayath,Win
Ernakulam,Thrissur South,Irinjalakuda,Aloor,Muriyad,NA
Ernakulam,Thrissur South,Irinjalakuda,Irinjalakuda,Kattoor,NA
Palakkad,Palakkad West,Ottapalam,Ottapalam,Lakkidi Peroor Gram Panchayat,Win
Palakkad,Palakkad West,Ottapalam,Ottapalam,Ambalapara,Win
Ernakulam,Thrissur City,Puthukkad,Amballur,Thrikkur,NA
Ernakulam,Thrissur City,Puthukkad,Puthukkad,Pudukkad,NA
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Mallappally Gramapanchayath,Win
Palakkad,Palakkad West,Thrithala,Thrithala,Nagalassery Grampanchayat,Win
Palakkad,Malappuram West,Thavanur,Thavanur,Edappal,Win
Ernakulam,Thrissur City,Puthukkad,Amballur,Alagappanagar,NA
Palakkad,Malappuram West,Vallikkunnu,Vallikkunnu,Vallikkunnu,Win
Palakkad,Malappuram West,Vallikkunnu,Pallikkal,Chelembra,Win
Palakkad,Malappuram West,Vallikkunnu,Pallikkal,Pallikkal,Win
Kozhikode,Kozhikode City,Kunnamangalam,Kunnamangalam,Kunnamangalam,Win
Kozhikode,Kozhikode Rural,Elathur,Chelannur,Nanminda,Win
Kozhikode,Kozhikode Rural,Elathur,Chelannur,Kakkur,Win
Kozhikode,Kozhikode North,Koyilandy,Koyilandy,Chengottukavu,Win
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Kunnanthanam Gramapanchayath,Win
Ernakulam,Thrissur City,Nattika,Nattika,Anthikkad,NA
Ernakulam,Thrissur South,Kaipamangalam,Edavilangu,Eriyad,NA
Palakkad,Wayanad,Sulthanbathery,Pulpally,Poothadi,Win
Palakkad,Wayanad,Kalpetta,Padinjarathara,Kottathara,Win
Palakkad,Wayanad,Sulthanbathery,Sulthan Bathery,Nenmeni,Win
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,Mathilakam,NA
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,Kaipamangalam,NA
Ernakulam,Thrissur South,Kaipamangalam,Kaipamangalam,Edathiruthy,NA
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Kottangal Gramapanchayath,Win
Thiruvananthapuram,Pathanamthitta,Ranni,Ayiroor,Kottanad Gramapanchayath,Win
Kozhikode,Kannur South,Kuthuparamba,Panoor,Triprangottoor,Win
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Mallappally,Kaviyoor Gramapanchayath,Win
Ernakulam,Thrissur North,Guruvayoor,Chavakkad,Engandiyoor,NA
Ernakulam,Thrissur City,Manalur,Manalur,Venkitangu,NA
Ernakulam,Thrissur City,Manalur,Pavaratty,Pavaratty,NA
Ernakulam,Thrissur City,Manalur,Manalur,Mullassery,NA
Kozhikode,Kasaragod,Kasargod,Kasaragod,Mogral-Puthur,Win
Ernakulam,Thrissur North,Wadakkanchery,Kaipparambu,Kolazhy,NA
Ernakulam,Thrissur North,Wadakkanchery,Kaipparambu,Tholur,NA
Ernakulam,Thrissur North,Wadakkanchery,Wadakkanchery,Mulamkunnathukavu,NA
Ernakulam,Thrissur North,Wadakkanchery,Kaipparambu,Kaiparambu,NA
Ernakulam,Thrissur North,Wadakkanchery,Wadakkanchery,Avanur,NA
Kozhikode,Kasaragod,Manjeshwaram,Kumbla,Kumbala,Win
Kozhikode,Kasaragod,Manjeshwaram,Kumbla,Puthige,Win
Ernakulam,Thrissur City,Ollur,Peechi,Pananchery,NA
Ernakulam,Thrissur City,Ollur,Ollur,Nadathara,NA
Kozhikode,Kasaragod,Manjeshwaram,Manjeshwar,Vorkady,Win
Kozhikode,Kasaragod,Manjeshwaram,Manjeshwar,Manjeswaram,Win
Ernakulam,Thrissur North,Chelakkara,Chelakkara,Pazhayannur,NA
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,Panjal,NA
Kozhikode,Kasaragod,Udma,Muliyar,Delampadi,Win
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,Vallathole Nagar,NA
Kozhikode,Kasaragod,Kasargod,Badiadka,Karaduka,Win
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,Varavoor,NA
Ernakulam,Thrissur North,Wadakkanchery,Wadakkanchery,Thekkumkara,NA
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,Mullurkkara,NA
Ernakulam,Thrissur North,Kunnamkulam,Erumapetty,Erumapetty,NA
Ernakulam,Thrissur North,Chelakkara,Cheruthuruthy,Desamangalam,NA
Ernakulam,Thrissur North,Kunnamkulam,Erumapetty,Velur,NA
Ernakulam,Thrissur North,Kunnamkulam,Erumapetty,Kadangode,NA
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Muthukulam gram panchayat,Win
Ernakulam,Thrissur North,Kunnamkulam,Kunnamkulam,Kattakampal,NA
Ernakulam,Thrissur City,Manalur,Pavaratty,Kandanassery,NA
Ernakulam,Thrissur North,Kunnamkulam,Erumapetty,Kadavalloor,NA
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Pathiyoor gram panchayat,Win
Ernakulam,Thrissur City,Manalur,Pavaratty,Choondal,NA
Ernakulam,Thrissur North,Guruvayoor,Guruvayoor,Vadakkekkad,NA
Ernakulam,Thrissur City,Manalur,Manalur,Elavally,Win
Ernakulam,Thrissur North,Guruvayoor,Guruvayoor,Punnayoor,NA
Ernakulam,Thrissur North,Guruvayoor,Chavakkad,Orumanayoor,NA
Ernakulam,Thrissur North,Guruvayoor,Chavakkad,Kadappuram,NA
Palakkad,Palakkad West,Mannarkad,Mannarkkad,Mannarkad,NA
Palakkad,Palakkad West,Shornur,Cherpulassery,Cherpulassery,NA
Palakkad,Palakkad West,Pattambi,Pattambi,Pattambi,NA
Palakkad,Palakkad East,Chittur,Chittoor,ChitturThathamangalam,NA
Alappuzha,Alappuzha South,Kayamkulam,Kayamkulam,Devikulangara Grama Panchayat,Win
Palakkad,Palakkad East,Kongad,Kongad,Parli Gramapanchayath,Win
Ernakulam,Thrissur South,Kodungallur,Kodungallur,Kodungallur,Win
Palakkad,Palakkad West,Tarur,Vadakkenchery,Kannambra Gramapanchayath,NA
Palakkad,Palakkad West,Tarur,Vadakkenchery,Vadakkenchery Gramapanchayath,NA
Palakkad,Palakkad West,Tarur,Tharur,Tarur Grampanchayat,NA
Thiruvananthapuram,Thiruvananthapuram North,Varkala,Navaikulam,Chemmaruthy Gramapanchayath,Win
Palakkad,Palakkad East,Alathur,Vandazhi,Kizhakkanchery Gramapanchayath,NA
Palakkad,Palakkad West,Tarur,Vadakkenchery,Kavassery,NA
Palakkad,Palakkad East,Alathur,Alathur,Erimayur,NA
Palakkad,Palakkad East,Alathur,Alathur,Alathur,NA
Palakkad,Palakkad East,Malampuzha,Puthussery,Kodumbu,NA
Palakkad,Wayanad,Sulthanbathery,Sulthan Bathery,Noolpuzha,Opposition
Palakkad,Palakkad East,Palakkad,Palakkad,Palakkad,Win
Thiruvananthapuram,Thiruvananthapuram South,Kovalam,Kovalam,Venganoor Gramapanchayat,Win
Alappuzha,Alappuzha South,Kayamkulam,Chettikulangara,Chettikulangara Grama Panchayat,Win
Ernakulam,Thrissur City,Manalur,Manalur,Vadanappilly,Win
Palakkad,Wayanad,Sulthanbathery,Pulpally,Pulpally,Opposition
Palakkad,Palakkad East,Nenmara,Nenmara,Nemmara Grampanchayat,NA
Palakkad,Palakkad East,Alathur,Vandazhi,Melarcode Grampanchayat,NA
Palakkad,Palakkad East,Nenmara,Nenmara,Pallassena Grampanchayat,NA
Palakkad,Palakkad East,Nenmara,Kollengode,Elavanchery Gramapanchayath,NA
Palakkad,Palakkad East,Nenmara,Kollengode,Nelliyampathy Gramapanchayath,NA
Palakkad,Palakkad East,Nenmara,Nenmara,Ayiloor,NA
Palakkad,Palakkad East,Chittur,Chittoor,Pattanchery Gramapanchayath,NA
Palakkad,Palakkad East,Chittur,Chittoor,Peruvemba Gramapanchayath,NA
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Niranam Gramapanchayath,NA
Alappuzha,Alappuzha North,Alappuzha,Mararikkulam,Mararikulam North Grama Panchayat,Opposition
Palakkad,Palakkad East,Malampuzha,Malampuzha,Akathethara,Win
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,Vakkom Gramapanchayath,Win
Palakkad,Palakkad West,Shornur,Shornur,Vaniyamkulam Gramapanchayath,Win
Palakkad,Palakkad East,Chittur,Chittoor,Polppulli Grampanchayat,NA
Alappuzha,Alappuzha South,Haripad,Haripad,Haripad,Win
Palakkad,Palakkad East,Chittur,Kozhinjampara,Vadakarapathy Grampanchayat,NA
Palakkad,Palakkad East,Chittur,Chittoor,Perumatty Gramapanchayath,NA
Palakkad,Palakkad East,Chittur,Kozhinjampara,Nalleppilly Gramapanchayath,NA
Palakkad,Palakkad East,Chittur,Kozhinjampara,Kozhinjampara Gramapanchayath,NA
Palakkad,Palakkad West,Mannarkad,Mannarkkad,Thenkara Gramapanchayath,Opposition
Kozhikode,Kannur South,Dharmadam,Dharmadom,Dharmadam,Opposition
Ernakulam,Thrissur South,Irinjalakuda,Aloor,Velookkara,Win
Palakkad,Palakkad West,Tarur,Tharur,Peringottukurissi Gramapanchayath,NA
Palakkad,Palakkad East,Palakkad,Pirayiri,Mathoor Grampanchayat,NA
Palakkad,Palakkad East,Alathur,Alathur,Kuzhalmannam Gramapanchayath,NA
Palakkad,Palakkad West,Tarur,Tharur,Kuthanur Grampanchayat,NA
Alappuzha,Kottayam West,Vaikom,Vaikom,Thalayazham Gramapanchayath,Opposition
Thiruvananthapuram,Thiruvananthapuram South,Kattakkada,Malayinkeezhu,Malayinkeezhu Grampanchayat,Win
Palakkad,Palakkad East,Kongad,Kongad,Mankara,NA
Palakkad,Palakkad East,Kongad,Kongad,Mannoor Grampanchayat,NA
Alappuzha,Alappuzha South,Haripad,Karthikappalli,Karthikapally gram panchayat,Win
Palakkad,Palakkad East,Kongad,Kongad,Kongad Gramapanchayath,NA
Ernakulam,Thrissur City,Manalur,Manalur,Arimbur,Win
Palakkad,Palakkad East,Palakkad,Pirayiri,Pirayiri Gramapanchayath,NA
Palakkad,Palakkad West,Mannarkad,Attappady,Sholayar,NA
Ernakulam,Thrissur City,Puthukkad,Amballur,Nenmanikkara,Win
Ernakulam,Thrissur City,Nattika,Cherpu,Chazhur,Win
Alappuzha,Alappuzha North,Ambalappuzha,Ambalappuzha,Ambalapuzha North,Opposition
Palakkad,Palakkad East,Kongad,Karimba,Thachampara Gramapanchayath,NA
Palakkad,Palakkad East,Kongad,Karimba,Kanhirapuzha Grama Panchayat,NA
Palakkad,Palakkad West,Mannarkad,Mannarkkad,Kumaramputhur gram panchayat,NA
Palakkad,Palakkad West,Mannarkad,Mannarkkad,Kottappadam Gramapanchayath,NA
Ernakulam,Thrissur City,Puthukkad,Puthukkad,Mattathur,Win
Palakkad,Palakkad West,Mannarkad,Mannarkkad,Alanallur,NA
Palakkad,Palakkad West,Ottapalam,Sreekrishnapuram,Pookottukavu Gramapanchayath,NA
Palakkad,Palakkad West,Ottapalam,Sreekrishnapuram,Thachanattukara Gramapanchayath,NA
Palakkad,Palakkad East,Kongad,Karimba,Karakurussi Gramapanchayath,NA
Palakkad,Palakkad West,Shornur,Cherpulassery,Vellinezhi Gramapanchayath,NA
Ernakulam,Thrissur North,Guruvayoor,Guruvayoor,Guruvayoor,Win
Palakkad,Palakkad West,Ottapalam,Sreekrishnapuram,Karimpuzha Gramapanchayath,NA
Palakkad,Palakkad West,Ottapalam,Sreekrishnapuram,Kadampazhipuram Gramapanchayath,NA
Palakkad,Palakkad West,Shornur,Cherpulassery,Nellaya,NA
Alappuzha,Alappuzha North,Aroor,Aroor,Thuravoor grama panchayat,Opposition
Thiruvananthapuram,Pathanamthitta,Thiruvalla,Thiruvalla,Kadapra Gramapanchayath,NA
Ernakulam,Thrissur City,Ollur,Peechi,Madakkathara,Win
Kozhikode,Kasaragod,Manjeshwaram,Manjeshwar,Paivalike,Win
Alappuzha,Kottayam West,Vaikom,Vaikom,TV Puram Grama Panchayat,Opposition
Palakkad,Palakkad West,Shornur,Shornur,Ananganadi,NA
Thiruvananthapuram,Thiruvananthapuram North,Attingal,Attingal,Attingal,Win
Palakkad,Palakkad West,Thrithala,Thrithala,Parathur Gramapanchayath,NA
Palakkad,Palakkad West,Pattambi,Koppam,Vilayur Gramapanchayath,NA
Palakkad,Palakkad West,Pattambi,Koppam,Thiruvegappura Gramapanchayath,NA
Thiruvananthapuram,Thiruvananthapuram North,Chirayinkeezhu,Kadakkavoor,Mudakkal Gramapanchayath,Win
Palakkad,Palakkad West,Pattambi,Pattambi,Muthuthala Gramapanchayath,NA
Palakkad,Palakkad West,Pattambi,Koppam,Kulukkallur Gramapanchayath,NA
Palakkad,Palakkad West,Pattambi,Koppam,Koppam Gramapanchayath,NA
Palakkad,Palakkad West,Thrithala,Thrithala,Thrithala Grampanchayat,NA
Palakkad,Palakkad East,Palakkad,Pirayiri,Kannadi Gramapanchayath,Opposition
Palakkad,Palakkad West,Thrithala,Kappur,Pattithara Gramapanchayath,NA
Ernakulam,Thrissur South,Irinjalakuda,Irinjalakuda,Irinjalakuda,Win
Palakkad,Palakkad West,Thrithala,Kappur,Kappoor Gramapanchayath,NA
Palakkad,Palakkad West,Thrithala,Kappur,Chalissery Gramapanchayath,NA
Palakkad,Palakkad West,Thrithala,Kappur,Anakkara,NA
Palakkad,Malappuram Central,Kondotty,Kondotty,Kondotty,NA
Palakkad,Malappuram West,Thirurangadi,Tirurangadi,Tirurangadi,NA
Palakkad,Malappuram Central,Kottakkal,Kuttippuram,Valanchery,NA
Palakkad,Malappuram West,Thirurangadi,Tirurangadi,Parappanangadi,NA
Ernakulam,Thrissur City,Nattika,Cherpu,Thanniam,Win
Palakkad,Malappuram East,Nilambur,Nilambur,Nilambur,NA
Palakkad,Malappuram Central,Kottakkal,Kottakkal,Kottakkal,NA
Palakkad,Malappuram East,Manjeri,Manjeri,Manjeri,NA
Palakkad,Malappuram Central,Malappuram,Malappuram,Malappuram,NA
Palakkad,Malappuram East,Perinthalamanna,Perinthalmanna,Perinthalmanna,NA
Palakkad,Malappuram West,Tirur,Tirur,Tirur,NA
Palakkad,Malappuram West,Ponnani,Ponnani,Ponnani,NA
Palakkad,Malappuram West,Ponnani,Changaramkulam,Veliyancode,NA
Palakkad,Malappuram West,Ponnani,Changaramkulam,Perumbadappu,NA
Palakkad,Malappuram West,Ponnani,Changaramkulam,Nannamukku,NA
Palakkad,Malappuram West,Ponnani,Ponnani,Marancherry Grama Panchayath Boundary,NA
Palakkad,Malappuram West,Ponnani,Changaramkulam,Alamkode,NA
Palakkad,Malappuram West,Thavanur,Thavanur,Kaladi,NA
Ernakulam,Thrissur City,Nattika,Nattika,Valappad,Win
Palakkad,Malappuram West,Thavanur,Thavanur,Vattamkulam,NA
Palakkad,Malappuram West,Thavanur,Thavanur,Tanur,NA
Palakkad,Malappuram West,Tirur,Thirunavaya,Thirunavaya,NA
Palakkad,Malappuram West,Tirur,Tirur,Thalakkad,NA
Palakkad,Malappuram West,Tirur,Tirur,Vettom,NA
Palakkad,Malappuram West,Thavanur,Thrippangodu,Thrippengode,NA
Palakkad,Malappuram West,Thavanur,Thrippangodu,Mangalam,NA
Palakkad,Malappuram West,Thavanur,Thrippangodu,Purathoor,NA
Palakkad,Malappuram West,Vallikkunnu,Pallikkal,Peruvalloor,NA
Ernakulam,Thrissur City,Nattika,Cherpu,Paralam,Win
Palakkad,Malappuram West,Vallikkunnu,Vallikkunnu,Thenhippalam,NA
Palakkad,Malappuram West,Vallikkunnu,Vallikkunnu,Moonniyur,NA
